accession	population	method	database	reads_total	bp_total	reads_retained_before_repair	reads_retained	reads_retained_pc	reads_retained_ebv	reads_retained_excluding_ebv	reads_retained_excluding_ebv_pc	reads_retained_excluding_ebv_group_mean_pc	reads_retained_including_ebv_group_mean_pc
ERR3241843	PUR	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	776192472	116428870800		4765600	0.613971%	1542430	3223170	0.4153%	0.3936%	0.5942%
ERR3241862	CLM	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	834477356	125171603400		3135934	0.375796%	281242	2854692	0.3421%	0.3936%	0.5942%
ERR3242189	ACB	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	748369992	112255498800		3894606	0.520412%	1164176	2730430	0.3649%	0.3936%	0.5942%
ERR3242199	PEL	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	725236972	108785545800		4333540	0.597534%	1292740	3040800	0.4193%	0.3936%	0.5942%
ERR3242202	IBS	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	745978896	111896834400		13208898	1.770680%	9967944	3240954	0.4345%	0.3936%	0.5942%
ERR3242208	KHV	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	742124154	111318623100		3292714	0.443688%	548406	2744308	0.3698%	0.3936%	0.5942%
ERR3242214	CDX	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	1085694008	162854101200		6836638	0.629702%	3308838	3527800	0.3249%	0.3936%	0.5942%
ERR3242540	MSL	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	768224688	115233703200		4643232	0.604411%	1409090	3234142	0.4210%	0.3936%	0.5942%
ERR3242585	ESN	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	734527092	110179063800		5123150	0.697476%	1652736	3470414	0.4725%	0.3936%	0.5942%
ERR3242627	PJL	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	717934962	107690244300		5084254	0.708178%	1427588	3656666	0.5093%	0.3936%	0.5942%
ERR3242642	BEB	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	872064342	130809651300		5508174	0.631625%	2198494	3309680	0.3795%	0.3936%	0.5942%
ERR3242892	STU	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	745108738	111766310700		3862184	0.518338%	717114	3145070	0.4221%	0.3936%	0.5942%
ERR3242910	ITU	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	685294482	102794172300		3331586	0.486154%	805568	2526018	0.3686%	0.3936%	0.5942%
ERR3242940	GWD	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	713822738	107073410700		3286796	0.460450%	464164	2822632	0.3954%	0.3936%	0.5942%
ERR3239334 (NA12878)	CEU	HRRT 2.1.0	default	758135204	113720280600	18286685	5221986	0.688793%	1750964	3471022	0.4578%	0.5331%	0.7294%
ERR3239480	CEU	HRRT 2.1.0	default	753247448	112987117200	16339744	3379580	0.448668%	402527	2977053	0.3952%	0.5331%	0.7294%
ERR3239491	YRI	HRRT 2.1.0	default	720104180	108015627000	19895854	5263318	0.730911%	1669557	3593761	0.4991%	0.5331%	0.7294%
ERR3239492	CHB	HRRT 2.1.0	default	759850438	113977565700	18965781	4752150	0.625406%	223336	4528814	0.5960%	0.5331%	0.7294%
ERR3239557	JPT	HRRT 2.1.0	default	722484412	108372661800	17311233	4609916	0.638064%	1465402	3144514	0.4352%	0.5331%	0.7294%
ERR3239683	LWK	HRRT 2.1.0	default	834666436	125199965400	22985101	6498592	0.778586%	1837343	4661249	0.5585%	0.5331%	0.7294%
ERR3239832	TSI	HRRT 2.1.0	default	728872364	109330854600	18548574	5239866	0.718900%	953962	4285904	0.5880%	0.5331%	0.7294%
ERR3239893	ASW	HRRT 2.1.0	default	755077300	113261595000	17904395	3552322	0.470458%	394477	3157845	0.4182%	0.5331%	0.7294%
ERR3239894	MXL	HRRT 2.1.0	default	755852262	113377839300	19499351	5992242	0.792780%	2984184	3008058	0.3980%	0.5331%	0.7294%
ERR3239997	GIH	HRRT 2.1.0	default	742828056	111424208400	20952783	6324022	0.851344%	1248976	5075046	0.6832%	0.5331%	0.7294%
ERR3240184	CHS	HRRT 2.1.0	default	812240132	121836019800	17412357	3769582	0.464097%	473533	3296049	0.4058%	0.5331%	0.7294%
ERR3240193	GBR	HRRT 2.1.0	default	801272652	120190897800	17728665	3883176	0.484626%	382677	3500499	0.4369%	0.5331%	0.7294%
ERR3240223	FIN	HRRT 2.1.0	default	732782248	109917337200	15578950	3520198	0.480388%	794747	2725451	0.3719%	0.5331%	0.7294%
ERR3241843	PUR	HRRT 2.1.0	default	776192472	116428870800	18676646	5005252	0.644847%	1514383	3490869	0.4497%	0.5331%	0.7294%
ERR3241862	CLM	HRRT 2.1.0	default	834477356	125171603400	20136809	5216176	0.625083%	275906	4940270	0.5920%	0.5331%	0.7294%
ERR3242189	ACB	HRRT 2.1.0	default	748369992	112255498800	19379131	5454874	0.728901%	1139718	4315156	0.5766%	0.5331%	0.7294%
ERR3242199	PEL	HRRT 2.1.0	default	725236972	108785545800	18628688	5520454	0.761193%	1268466	4251988	0.5863%	0.5331%	0.7294%
ERR3242202	IBS	HRRT 2.1.0	default	745978896	111896834400	30914665	15319798	2.053650%	9727553	5592245	0.7497%	0.5331%	0.7294%
ERR3242208	KHV	HRRT 2.1.0	default	742124154	111318623100	15476541	3461272	0.466401%	538529	2922743	0.3938%	0.5331%	0.7294%
ERR3242214	CDX	HRRT 2.1.0	default	1085694008	162854101200	26515855	9254648	0.852418%	3247167	6007481	0.5533%	0.5331%	0.7294%
ERR3242540	MSL	HRRT 2.1.0	default	768224688	115233703200	19182973	5063584	0.659128%	1379536	3684048	0.4796%	0.5331%	0.7294%
ERR3242585	ESN	HRRT 2.1.0	default	734527092	110179063800	21294143	6685860	0.910226%	1619121	5066739	0.6898%	0.5331%	0.7294%
ERR3242627	PJL	HRRT 2.1.0	default	717934962	107690244300	25386389	7985264	1.112255%	1394610	6590654	0.9180%	0.5331%	0.7294%
ERR3242642	BEB	HRRT 2.1.0	default	872064342	130809651300	26511559	8509954	0.975840%	2153093	6356861	0.7289%	0.5331%	0.7294%
ERR3242892	STU	HRRT 2.1.0	default	745108738	111766310700	18453781	4896402	0.657139%	703482	4192920	0.5627%	0.5331%	0.7294%
ERR3242910	ITU	HRRT 2.1.0	default	685294482	102794172300	14139299	3461788	0.505153%	790485	2671303	0.3898%	0.5331%	0.7294%
ERR3242940	GWD	HRRT 2.1.0	default	713822738	107073410700	16824724	3680912	0.515662%	454338	3226574	0.4520%	0.5331%	0.7294%
